iter	RMSE
0	4370.849958
1	4062.67445
2	3793.482356
3	3554.395611
4	3341.676987
5	3156.830041
6	2999.979325
7	2856.709227
8	2735.310973
9	2625.951987
10	2512.123638
11	2412.54679
12	2326.261618
13	2251.84085
14	2187.471442
15	2130.660417
16	2081.980666
17	2032.677702
18	1989.21071
19	1951.747088
20	1919.729957
21	1891.56619
22	1868.122513
23	1847.549411
24	1829.327246
25	1812.656376
26	1796.206796
27	1782.097381
28	1769.550626
29	1758.8257
30	1749.521755
31	1734.644617
32	1719.322375
33	1709.379032
34	1695.78935
35	1686.731519
36	1679.693419
37	1670.413015
38	1659.355214
39	1648.863564
40	1642.242882
41	1636.051612
42	1631.043763
43	1625.91702
44	1621.183536
45	1616.365496
46	1611.568471
47	1607.696428
48	1603.543201
49	1599.459384
50	1594.997698
51	1591.381172
52	1588.481016
53	1585.220978
54	1581.677969
55	1578.161124
56	1575.213015
57	1571.518606
58	1569.637391
59	1566.520792
60	1563.286782
61	1560.134213
62	1557.772643
63	1555.67719
64	1552.979465
65	1548.471997
66	1546.464696
67	1544.329677
68	1540.419818
69	1537.724468
70	1535.873674
71	1533.301166
72	1530.903459
73	1527.74398
74	1524.595444
75	1521.423052
76	1516.787914
77	1514.521367
78	1511.928955
79	1509.612323
80	1507.052317
81	1504.92319
82	1502.938259
83	1499.18829
84	1495.164298
85	1491.543623
86	1489.119652
87	1484.977102
88	1482.442992
89	1480.499958
90	1476.304189
91	1472.457249
92	1470.398575
93	1468.750071
94	1466.805561
95	1463.329736
96	1460.626389
97	1458.110825
98	1455.432689
99	1453.414493
