iter	Passed	Remaining
0	690	68346
1	1452	71158
2	2172	70250
3	2864	68740
4	3528	67043
5	4215	66048
6	4984	66219
7	5690	65445
8	6399	64708
9	7090	63816
10	7765	62828
11	8441	61904
12	9089	60831
13	9773	60036
14	10438	59150
15	11081	58176
16	11739	57314
17	12375	56378
18	13025	55528
19	13677	54711
20	14489	54507
21	15208	53920
22	15940	53366
23	16648	52719
24	17351	52053
25	18049	51372
26	18772	50755
27	19509	50166
28	20207	49472
29	20922	48818
30	21633	48152
31	22340	47473
32	23031	46760
33	23732	46068
34	24441	45390
35	25128	44672
36	25809	43945
37	26502	43241
38	27189	42527
39	27872	41809
40	28569	41111
41	29234	40371
42	29925	39668
43	30592	38935
44	31324	38285
45	31985	37548
46	32691	36864
47	33299	36074
48	33923	35308
49	34564	34564
50	35185	33805
51	35810	33056
52	36450	32324
53	37125	31625
54	37800	30927
55	38471	30227
56	39139	29525
57	39829	28842
58	40450	28109
59	41097	27398
60	41757	26697
61	42412	25994
62	43038	25276
63	43652	24554
64	44258	23831
65	44887	23123
66	45503	22412
67	46120	21703
68	46748	21002
69	47387	20309
70	48042	19623
71	48713	18944
72	49362	18257
73	50228	17647
74	51011	17003
75	51801	16358
76	52590	15708
77	53387	15058
78	54185	14403
79	54993	13748
80	55850	13100
81	56667	12439
82	57454	11767
83	58271	11099
84	59049	10420
85	59841	9741
86	60639	9061
87	61427	8376
88	62234	7691
89	62991	6999
90	63799	6309
91	64583	5615
92	65341	4918
93	66117	4220
94	66932	3522
95	67684	2820
96	68451	2117
97	69217	1412
98	69994	707
99	70771	0
